6.611156463623046875e+00,6.538516998291015625e+00,6.268608093261718750e+00,6.920394897460937500e+00,6.499370574951171875e+00
5.695285797119140625e+00,4.460830688476562500e+00,5.155006408691406250e+00,5.238960266113281250e+00,5.492485046386718750e+00
4.805526733398437500e+00,5.883960723876953125e+00,4.671474456787109375e+00,5.330970764160156250e+00,4.590881347656250000e+00
4.997138977050781250e+00,4.825370788574218750e+00,4.772815704345703125e+00,5.162174224853515625e+00,5.161327362060546875e+00
4.996608734130859375e+00,3.403282165527343750e+00,3.904876708984375000e+00,4.252384185791015625e+00,4.430301666259765625e+00
3.385581970214843750e+00,4.674804687500000000e+00,3.744533538818359375e+00,4.055164337158203125e+00,4.185356140136718750e+00
2.310398101806640625e+00,2.192752838134765625e+00,2.267391204833984375e+00,2.418804168701171875e+00,2.949066162109375000e+00
3.176513671875000000e+00,1.716350555419921875e+00,2.114913940429687500e+00,2.356952667236328125e+00,2.347713470458984375e+00
1.775566101074218750e+00,2.685119628906250000e+00,2.206771850585937500e+00,2.091888427734375000e+00,2.662822723388671875e+00
5.213317871093750000e-01,5.122413635253906250e-01,4.609336853027343750e-01,3.502616882324218750e-01,6.974182128906250000e-01
1.361415863037109375e+00,8.031806945800781250e-01,8.450775146484375000e-01,7.310256958007812500e-01,9.942665100097656250e-01
7.690849304199218750e-01,9.777336120605468750e-01,8.824806213378906250e-01,7.607841491699218750e-01,8.322257995605468750e-01
8.482742309570312500e-02,9.070587158203125000e-02,9.315109252929687500e-02,8.680343627929687500e-02,8.222579956054687500e-02
7.272224426269531250e-01,6.525154113769531250e-01,7.401542663574218750e-01,5.515556335449218750e-01,7.746734619140625000e-01
8.375663757324218750e-01,7.706527709960937500e-01,6.743202209472656250e-01,7.418632507324218750e-01,5.407104492187500000e-01
5.461654663085937500e-01,2.414436340332031250e-01,7.812843322753906250e-01,5.756912231445312500e-01,3.807220458984375000e-01
8.163719177246093750e-01,7.894134521484375000e-01,1.291229248046875000e+00,7.926063537597656250e-01,1.428733825683593750e+00
1.404109954833984375e+00,9.200286865234375000e-01,8.077239990234375000e-01,9.423027038574218750e-01,5.691947937011718750e-01
3.014015197753906250e+00,2.354583740234375000e+00,2.973499298095703125e+00,2.557533264160156250e+00,2.725894927978515625e+00
2.488166809082031250e+00,2.066024780273437500e+00,2.943511962890625000e+00,2.115589141845703125e+00,3.173709869384765625e+00
3.224494934082031250e+00,2.559410095214843750e+00,2.178546905517578125e+00,2.616516113281250000e+00,1.750698089599609375e+00
5.362010955810546875e+00,4.980777740478515625e+00,5.310356140136718750e+00,5.346752166748046875e+00,5.067890167236328125e+00
4.594543457031250000e+00,3.607696533203125000e+00,4.555953979492187500e+00,4.110641479492187500e+00,4.684852600097656250e+00
4.626789093017578125e+00,4.764732360839843750e+00,3.885055541992187500e+00,4.397109985351562500e+00,3.383350372314453125e+00
