camera,RMSE,MAE,Correlation,NRMSE
cam_01,20.241294186440197,20.179313850360344,0.9927489242210452,3.6868915918688807
cam_02,20.241294186440197,20.179313850360344,0.9927489242210452,3.6868915918688807
cam_03,18.62229711522857,18.550600020831975,0.9740345831179672,3.2439955470445727
cam_04,19.23795637811616,19.189773870599677,0.9829945915461694,3.7730666461058413
cam_05,15.060822699760717,14.993266552999348,0.9765879549828886,2.8844487031600963
cam_06,15.060822699760717,14.993266552999348,0.9765879549828886,2.8844487031600963
cam_07,13.559836309310667,13.47762487098644,0.9701239851765995,2.3759742455448754
cam_08,14.193271614294881,14.14627996202489,0.9318458027880785,3.2562401983297473
cam_09,5.779856077571377,5.730228517506612,0.9347933443334433,1.8595283098552426
cam_10,5.779856077571377,5.730228517506612,0.9347933443334433,1.8595283098552426
cam_11,5.533318658129217,5.460362462274217,0.9446586535696392,1.412607315008036
cam_12,5.847873334611641,5.818123135474629,0.8670034434370073,2.277951290931174
cam_13,0.12188013577534791,0.0975041764182776,0.9132811242601704,0.11789297732901788
cam_14,0.12188013577534791,0.0975041764182776,0.9132811242601704,0.11789297732901788
cam_15,0.36510057155624404,0.3337409689996129,0.9142685438883169,0.25353032103986095
cam_16,0.4136069958806231,0.3829015528093421,0.7506223568986956,0.44500528612502804
cam_17,0.18139750076049257,0.15373535054981818,0.8212415291421814,0.17428596254066656
cam_18,0.18139750076049257,0.15373535054981818,0.8212415291421814,0.17428596254066656
cam_19,0.3310558381549433,0.2839744936655533,0.8701924752708167,0.21265106461487915
cam_20,0.4402470129786466,0.36345426064926445,-0.04711420664313738,0.5788532800762605
cam_21,5.7823332762536195,5.732351544402077,0.8789672980448116,1.8477893593555414
cam_22,5.7823332762536195,5.732351544402077,0.8789672980448116,1.8477893593555414
cam_23,5.567913571585527,5.489760784268032,0.8700611837234109,1.4187093505366029
cam_24,5.844781863027028,5.819979537285933,0.858624770810375,2.5131802838715025
cam_25,15.062248551750393,14.995141181388366,0.9416064206683229,2.9270225761166717
cam_26,15.062248551750393,14.995141181388366,0.9416064206683229,2.9270225761166717
cam_27,13.757228776349606,13.672837374657268,0.9128807954296333,2.649378427109734
cam_28,14.336271105549518,14.292374748844274,0.9277377731683637,3.274535005113007
